"Model_Year";"Make";"Model";"Electric_Vehicle_Type";"Clean_Alternative_Fuel_Vehicle";"Electric_Range";"DOL_Vehicle_ID"
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";322;104587360
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;169028793
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;117205525
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;125048003
2017;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;3562576
2015;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;178885549
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;187888291
2021;"TOYOTA";"RAV4 PRIME";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";42;196215260
2016;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;187663241
2023;"BMW";"X5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";30;249239168
2016;"FIAT";"500";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;194054815
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;186387925
2019;"AUDI";"E-TRON";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";204;200517859
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;3524083
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;476029207
2020;"HYUNDAI";"IONIQ";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";29;144329524
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;2404027
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;477072249
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;104423469
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;476340889
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;279551744
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;338472676
2016;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;8809160
2023;"VOLVO";"XC90";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";32;230117681
2018;"BMW";"I3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";114;210232879
2017;"BMW";"I3";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";97;347881089
2020;"KIA";"NIRO";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";26;148895785
2016;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;218753300
2013;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";38;157418817
2013;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";38;279774568
2013;"FORD";"C-MAX";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;144174390
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;478711656
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;123374772
2018;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";151;171037800
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;109851010
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;224253004
2020;"CHRYSLER";"PACIFICA";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";32;138152773
2013;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;181313002
2019;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";289;219474433
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;134808523
2018;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";249;301044369
2018;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";53;4979544
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;474199232
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;227583534
2020;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";293;244341450
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;106904948
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;196361546
2019;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";150;4845123
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;349225236
2011;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;167067225
2018;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";21;203441619
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;207623615
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;177995058
2018;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";53;474394126
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;179537452
2011;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;145685235
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;3225554
2017;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;163298908
2017;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";107;226487425
2014;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;183756758
2014;"BMW";"I3";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";72;101036617
2017;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;112919999
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;238563412
2021;"JEEP";"WRANGLER";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";25;171137095
2017;"TESLA";"MODEL X";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";200;122985915
2019;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";220;168387362
2013;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;126251947
2013;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;246736185
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;106203702
2015;"FORD";"C-MAX";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";19;134915000
2017;"CHEVROLET";"VOLT";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";53;238343479
2022;"VOLVO";"XC60";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";35;201900387
2014;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";208;220971803
2019;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";270;265979332
2017;"FORD";"FUSION";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";21;218926900
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;473990254
2023;"BMW";"X5";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";30;228764777
2020;"CHRYSLER";"PACIFICA";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";32;131207121
2015;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;169385681
2016;"BMW";"I3";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";72;1788608
2012;"TOYOTA";"PRIUS PLUG-IN";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";6;220333613
2020;"PORSCHE";"PANAMERA";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";14;116674393
2012;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";265;153161011
2023;"JEEP";"WRANGLER";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";21;236652097
2018;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";238;120400346
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";322;104624054
2018;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";151;177925814
2019;"VOLKSWAGEN";"E-GOLF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";125;339052626
2015;"FIAT";"500";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";87;316389692
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";266;103151716
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;474096521
2022;"CHRYSLER";"PACIFICA";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";32;240354684
2011;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";73;141441254
2018;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";215;476050592
2022;"VOLVO";"XC60";"Plug-in Hybrid Electric Vehicle (PHEV)";"Not eligible due to low battery range";18;185916657
2016;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;157693021
2017;"TESLA";"MODEL S";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";210;205628244
2013;"NISSAN";"LEAF";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";75;130509690
2020;"TESLA";"MODEL Y";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";291;115457198
2016;"FIAT";"500";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";84;114616393
2020;"CHEVROLET";"BOLT EV";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";259;144953259
2020;"TESLA";"MODEL 3";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";322;153891419
2022;"TOYOTA";"RAV4 PRIME";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";42;209162957
2023;"KIA";"SPORTAGE";"Plug-in Hybrid Electric Vehicle (PHEV)";"Clean Alternative Fuel Vehicle Eligible";34;233347992
2020;"TESLA";"MODEL Y";"Battery Electric Vehicle (BEV)";"Clean Alternative Fuel Vehicle Eligible";291;112960417
